datetime,site_id,depth,observation,variable
2021-05-12T00:00:00Z,ccre,1,18.7846,temperature
2021-05-12T00:00:00Z,ccre,2,18.8014,temperature
2021-05-12T00:00:00Z,ccre,3,18.7968,temperature
2021-05-12T00:00:00Z,ccre,4,18.0684,temperature
2021-05-12T00:00:00Z,ccre,5,17.9043,temperature
2021-05-12T00:00:00Z,ccre,6,14.8927,temperature
2021-05-12T00:00:00Z,ccre,7,13.5312,temperature
2021-05-12T00:00:00Z,ccre,8,12.9241,temperature
2021-05-12T00:00:00Z,ccre,10,10.4938,temperature
2021-05-12T00:00:00Z,ccre,11,9.7494,temperature
2021-05-12T00:00:00Z,ccre,15,9.1341,temperature
2021-05-13T00:00:00Z,ccre,0.1,17.8474,temperature
2021-05-13T00:00:00Z,ccre,1,17.8906,temperature
2021-05-13T00:00:00Z,ccre,2,17.9072,temperature
2021-05-13T00:00:00Z,ccre,3,17.9039,temperature
2021-05-13T00:00:00Z,ccre,4,17.8724,temperature
2021-05-13T00:00:00Z,ccre,5,17.4668,temperature
2021-05-13T00:00:00Z,ccre,6,14.1305,temperature
2021-05-13T00:00:00Z,ccre,7,12.8083,temperature
2021-05-13T00:00:00Z,ccre,8,12.1871,temperature
2021-05-13T00:00:00Z,ccre,10,10.72,temperature
2021-05-13T00:00:00Z,ccre,11,10.251,temperature
2021-05-13T00:00:00Z,ccre,15,9.4222,temperature
2021-05-14T00:00:00Z,ccre,0.1,18.2475,temperature
2021-05-14T00:00:00Z,ccre,1,18.2869,temperature
2021-05-14T00:00:00Z,ccre,2,18.3083,temperature
2021-05-14T00:00:00Z,ccre,3,18.3037,temperature
2021-05-14T00:00:00Z,ccre,4,18.2657,temperature
2021-05-14T00:00:00Z,ccre,5,16.7642,temperature
2021-05-14T00:00:00Z,ccre,6,14.0162,temperature
2021-05-14T00:00:00Z,ccre,7,13.2301,temperature
2021-05-14T00:00:00Z,ccre,8,12.2804,temperature
2021-05-14T00:00:00Z,ccre,10,10.0701,temperature
2021-05-14T00:00:00Z,ccre,11,9.7109,temperature
2021-05-14T00:00:00Z,ccre,15,9.2746,temperature
2021-05-15T00:00:00Z,ccre,0.1,18.1981,temperature
2021-05-15T00:00:00Z,ccre,1,18.2463,temperature
2021-05-15T00:00:00Z,ccre,2,18.2626,temperature
2021-05-15T00:00:00Z,ccre,3,18.2646,temperature
2021-05-15T00:00:00Z,ccre,4,18.1692,temperature
2021-05-15T00:00:00Z,ccre,5,16.5662,temperature
2021-05-15T00:00:00Z,ccre,6,14.8365,temperature
